lat,lon,date,temp,precip,is_fire
37.857,-120.086,8/17/2013,22,0,TRUE
34.585595,-118.423176,5/30/2013,23,0,TRUE
33.7095,-116.72885,7/15/2013,35.1,0,TRUE
39.12,-120.65,8/10/2013,17.8,0,TRUE
37.279,-119.318,7/22/2013,25,0,TRUE
33.86157,-116.90427,8/7/2013,26.7,0,TRUE
41.32,-123.176,7/31/2013,21.4,0.21,TRUE
41.035,-123.488,8/10/2013,13.4,0,TRUE
40.04263,-121.85397,8/23/2013,24.7,0,TRUE
40.498332,-122.535496,9/9/2013,30.1,0,TRUE
32.95435,-116.47381,7/6/2013,20.7,0,TRUE
40.190062,-121.595555,5/1/2013,21.7,0,TRUE
34.7861,-118.9411,5/15/2013,20,0,TRUE
34.7861,-118.9411,5/15/2013,20,0,TRUE
38.8167,-122.8498,11/22/2013,17.4,0,TRUE
34.288877,-116.941311,5/1/2013,11.4,0,TRUE
37.90757,-121.882582,9/8/2013,23.8,0,TRUE
33.12111,-116.52579,5/23/2013,17.2,0,TRUE
39.446268,-121.38236,8/16/2013,26.8,0,TRUE
33.341,-117.3092,10/5/2013,22.9,0,TRUE
36.208,-118.444,8/24/2013,24.9,0,TRUE
34.55048,-119.82429,5/27/2013,19.1,0,TRUE
37.58202,-119.91071,6/16/2013,17.8,0,TRUE
33.62236,-117.40288,8/5/2013,21.4,0.38,TRUE
33.04458,-116.5209,5/26/2013,16.1,0,TRUE
38.25108,-120.02778,8/5/2013,19.8,0,TRUE
35.707,-118.588,8/18/2013,27.2,0.04,TRUE
34.882,-118.9194,7/19/2013,27,0,TRUE
34.49149,-118.610044,5/17/2013,17.5,0,TRUE
34.90327,-118.93388,7/23/2013,25.6,0,TRUE
38.774,-120.298,7/8/2013,22.6,0,TRUE
34.071556,-117.048397,6/28/2013,26.8,0,TRUE
40.00842,-120.764666,8/18/2013,23.2,0,TRUE
33.894055,-116.855019,5/4/2013,20.3,0,TRUE
41.2415,-121.035,7/3/2013,27.1,0,TRUE
35.15832,-120.05131,6/1/2013,18.2,0,TRUE
37.96866,-121.91453,7/1/2013,26.5,0,TRUE
37.015575,-119.78106,6/16/2013,24.7,0,TRUE
34.302,-117.598,8/20/2013,25.2,0,TRUE
36.602575,-118.01651,2/24/2013,11.4,0,TRUE
38.628,-122.289,10/3/2013,17.9,0,TRUE
37.160346,-120.937494,5/3/2013,23.5,0,TRUE
39.439,-121.497,10/4/2013,19.7,0,TRUE
38.04993,-120.90325,5/30/2013,20.5,0,TRUE
39.434183,-121.576804,6/3/2013,27.2,0,TRUE
39.90465,-121.74367,7/1/2013,32.6,0,TRUE
37.116295,-119.635004,4/30/2013,22.5,0,TRUE
34.149,-117.908,9/23/2013,23.5,0,TRUE
32.710918,-116.746023,9/9/2013,20.8,0,TRUE
34.35,-117.62,8/8/2013,22,0,TRUE
37.775057,-121.737213,6/8/2013,26.5,0,TRUE
38.729297,-121.380862,6/13/2013,21.1,0,TRUE
39.514139,-122.560862,5/1/2013,21,0,TRUE
34.2,-117.417,9/24/2013,23.9,0,TRUE
40.012398,-122.079871,7/4/2013,36.5,0,TRUE
40.5445,-121.3754,8/19/2013,30.8,0,TRUE
39.961309,-122.330879,7/19/2013,29.2,0,TRUE
38.382,-122.311,11/21/2013,13,0,TRUE
34.611824,-120.074655,5/28/2013,17.1,0,TRUE
38.67479,-122.08725,11/4/2013,15.6,0,TRUE
38.63987,-121.08438,7/19/2013,26.8,0,TRUE
38.63987,-121.08438,7/19/2013,26.8,0,TRUE
38.34599,-122.6503,10/4/2013,21.1,0,TRUE
38.17693,-122.51253,7/26/2013,17,0,TRUE
33.990128,-117.164997,7/16/2013,24.6,0,TRUE
37.436,-121.1955,7/12/2013,23.3,0,TRUE
36.7218,-119.2248,6/25/2013,26.2,0,TRUE
34.419284,-118.58688,5/28/2013,21.2,0.3,TRUE
36.258,-118.459,9/8/2013,27.1,0,TRUE
38.638828,-122.655616,5/1/2013,21.3,0,TRUE
38.08744,-122.13802,6/18/2013,17,0,TRUE
37.03776,-121.006939,6/4/2013,19.1,0,TRUE
33.963591,-117.187934,5/25/2013,16.8,0,TRUE
38.882214,-122.567525,11/8/2013,12.1,0,TRUE
38.682378,-120.839075,8/16/2013,26.2,0,TRUE
34.287,-117.451,8/17/2013,27.2,0,TRUE
36.772425,-119.628389,6/13/2013,24.3,0,TRUE
36.1531,-120.8973,6/29/2013,31.3,0,TRUE
37.91529,-120.33313,6/2/2013,24.4,0,TRUE
32.564465,-116.900368,5/22/2013,17.6,0,TRUE
