,lat,lon,date,temp,precip
0,39.87983,-122.5415,08/10/2017,27.6,0.0
0,39.16826,-120.95498,07/27/2017,24.5,0.0
0,41.45589,-120.56933,07/17/2017,21.6,0.0
0,35.947,-120.87492,06/28/2017,21.0,0.0
0,38.19906,-120.83484,05/28/2017,21.0,0.0
0,33.56777,-116.08003,04/13/2017,23.9,0.0
0,34.71796,-120.27077,12/16/2017,12.9,0.0
0,34.605358,-120.414875,12/14/2017,10.8,0.0
0,39.8629,-121.6268,07/02/2017,28.8,0.0
0,35.80375,-120.52508,06/09/2017,18.8,0.0
0,33.97155,-117.44148,05/18/2017,17.9,0.0
0,37.89532,-120.84748,10/18/2017,17.0,0.0
0,38.69775,-120.73757,07/25/2017,25.2,0.0
0,38.67474,-121.06088,07/12/2017,26.3,0.0
0,34.304722,-117.3125,07/04/2017,25.3,0.0
0,39.44257,-121.60683,09/12/2017,29.6,0.0
0,0.0,0.0,06/04/2017,25.9,0.0
0,35.6879,-120.3317,05/07/2017,12.4,5.3
0,33.7866,-117.5048,04/30/2017,20.2,0.0
0,37.21812,-121.07761,12/31/2017,9.3,0.0
0,38.70289,-122.90217,07/31/2017,18.6,0.0
0,33.913089,-117.096233,07/02/2017,22.4,0.0
0,40.24789,-122.255,10/08/2017,20.3,0.0
0,37.76888,-120.15846,09/20/2017,15.2,0.44
0,37.10067,-119.32109,09/11/2017,24.6,1.34
0,38.34421,-120.72274,08/28/2017,31.1,0.0
0,34.23925,-117.85182,08/03/2017,29.7,0.0
0,39.36902,-120.97586,07/21/2017,22.9,0.0
0,40.48972,-122.38619,07/15/2017,31.1,0.0
0,33.77896,-117.24091,07/13/2017,26.2,0.0
0,39.50475,-121.33785,07/12/2017,27.4,0.0
0,33.91806,-116.99321,07/03/2017,22.2,0.0
0,39.08382,-121.06656,07/02/2017,26.5,0.0
0,33.90965,-116.9669,06/18/2017,23.9,0.0
0,117.138741,33.939428,06/16/2017,,
0,35.564124,-118.796513,06/05/2017,25.5,0.0
0,33.87107,-116.88097,06/04/2017,27.0,0.0
0,39.23205,-121.376,05/29/2017,22.1,0.0
0,34.87128,-118.35296,05/28/2017,21.9,0.0
0,33.94673,-117.17773,05/23/2017,24.3,0.0
0,36.44141,-121.34695,04/24/2017,13.5,0.0
0,38.36685,-122.64001,10/09/2017,19.4,0.0
0,38.31802,-122.39052,10/08/2017,18.1,0.0
0,37.73596,-119.78256,09/07/2017,16.4,0.0
0,41.702,-123.508,07/25/2017,12.4,0.0
0,41.338,-120.304,07/23/2017,25.8,0.01
0,39.75425,-122.17657,07/19/2017,26.9,0.0
0,40.6361,-120.9643,07/06/2017,24.2,0.0
0,41.86609,-122.73031,07/04/2017,25.2,0.0
0,33.43513,-117.58252,06/28/2017,18.7,0.0
0,41.841,-123.474,06/25/2017,15.1,0.45
0,36.51912,-119.50606,06/23/2017,32.3,0.0
0,35.85253,-120.80411,05/19/2017,19.9,0.0
0,39.51158,-121.55633,02/07/2017,14.6,15.1
0,39.243283,-123.103367,07/27/2018,27.3,0.0
0,39.243283,-123.103367,07/27/2018,27.3,0.0
0,39.243283,-123.103367,07/27/2018,27.3,0.0
0,39.243283,-123.103367,07/27/2018,27.3,0.0
0,40.65428,-122.62357,07/23/2018,30.6,0.0
0,40.65428,-122.62357,07/23/2018,30.6,0.0
0,39.8134,-121.4347,11/08/2018,13.3,0.0
0,34.235,-118.70128,11/08/2018,19.5,0.0
0,34.235,-118.70128,11/08/2018,19.5,0.0
0,37.6549,-119.88581,07/13/2018,21.4,0.0
0,38.80583,-122.18183,06/30/2018,30.1,0.0
0,38.80583,-122.18183,06/30/2018,30.1,0.0
0,40.9425,-122.43,09/05/2018,23.8,0.0
0,40.9425,-122.43,09/05/2018,23.8,0.0
0,39.04786,-123.11971,07/27/2018,23.2,0.0
0,39.04786,-123.11971,07/27/2018,23.2,0.0
0,39.04786,-123.11971,07/27/2018,23.2,0.0
0,40.896,-122.219,08/09/2018,25.7,0.0
0,41.38544,-121.04386,08/15/2018,22.4,0.0
0,41.893332,-122.534655,07/05/2018,20.8,0.0
0,38.349,-119.929,08/01/2018,21.0,0.0
0,33.69888,-117.52055,08/06/2018,28.6,0.0
0,40.633536,-120.868091,07/27/2018,26.2,0.0
0,39.0674,-122.59848,06/23/2018,26.2,0.0
0,0.0,0.0,07/25/2018,24.0,0.7
0,38.052055,-120.945482,06/29/2018,25.8,0.0
0,38.347395,-119.45186,09/04/2018,15.4,0.0
0,37.39339,-120.34207,06/15/2018,23.3,0.0
0,34.22685,-118.93444,11/08/2018,20.1,0.0
0,0.0,0.0,10/07/2018,25.9,0.0
0,37.571,-119.118,06/11/2018,17.5,0.0
0,40.22027778,-122.18,10/07/2018,20.7,0.0
0,40.35068,-121.77867,06/23/2018,31.7,0.0
0,41.07944,-123.688056,08/16/2018,14.7,0.0
0,34.48229,-118.60858,09/22/2018,25.4,0.0
0,35.97896,-119.98329,08/06/2018,25.9,0.0
0,39.94355,-122.3571,06/09/2018,20.7,0.0
0,35.37444,-118.83556,08/03/2018,30.0,0.0
0,36.6734,-118.21881,07/08/2018,29.8,0.0
0,38.69601,-122.44468,09/08/2018,20.7,0.0
0,39.64978,-122.58218,06/09/2018,19.3,0.0
0,35.847778,-120.343056,08/06/2018,25.2,0.0
0,38.431278,-122.043747,08/10/2018,26.2,0.0
0,41.29363,-120.11461,07/13/2018,24.6,0.0
0,37.40208,-118.50235,02/18/2018,6.7,0.0
0,40.99344,-121.52225,08/09/2018,22.6,0.0
0,36.85156,-120.77206,05/02/2018,15.4,0.0
0,40.616251,-123.52019,09/04/2018,12.3,0.0
0,40.50318,-122.42308,06/24/2018,33.5,0.0
0,38.21396,-121.9424,11/08/2018,17.7,0.0
0,35.73629,-120.75593,06/20/2018,22.2,0.0
0,34.5486,-118.31138,06/04/2018,27.3,0.0
0,34.095568,-116.958806,07/06/2018,23.7,0.0
